id,brand,name,bag_of_words
AV-9hndsuC1rwyj_g2bb,a2 by aerosoles,a2 by aerosoles best role women's ankle boots,best women's role boots by aerosoles ankle a2
AV-9hpHjYSSHbkXwpyGV,eastland,eastland marcella women's loafers,marcella loafers eastland women's
AV-9hqJYuC1rwyj_g2c_,so,so prestige women's ankle boots,prestige women's so boots ankle
AV-9hriAuC1rwyj_g2dv,so,so meme women's block heel ankle boots,block meme women's so heel boots ankle
AV-9hsUluC1rwyj_g2eA,lifestride,lifestride ballad women's loafers,lifestride loafers women's ballad
AV-9iKxlYSSHbkXwpyKu,naturalsoul by naturalizer,naturalsoul by naturalizer seleste women's leather wedge sandals,naturalsoul leather women's sandals wedge by seleste naturalizer
AV-9id7QYSSHbkXwpyLI,apt. 9,apt. 9 upgraded women's side slit ankle boots,slit women's apt. upgraded 9 boots ankle side
AV-9jSoSHh53nbDR_pU4,lifestride,lifestride dig women's flats,lifestride dig flats women's
AV-9jwmYHh53nbDR_pVm,seven7,seven7 buci women's sandals,women's buci sandals seven7
AV-9luQ5Hh53nbDR_pWA,keds,keds lex women's ortholite sneakers,women's keds lex sneakers ortholite
AV-KM264uC1rwyj_gSfJ,skechers,skechers 38562blk women's rumblers - hotshot sandal shoes,hotshot women's 38562blk skechers rumblers shoes sandal -
AV-KM4DlKZqtpbFMSpKi,andrew geller,andrew geller starrika women's block heel sandals,block women's sandals geller starrika heel andrew
AV-KM5O-uC1rwyj_gShN,sonoma goods for life,sonoma goods for life raelin women's block heel sandals,block for sonoma women's goods life sandals heel raelin
AV-KM6rLYSSHbkXwpOPy,apt. 9,apt. 9 women's stiletto high heels,high women's stiletto apt. heels 9
AV-KM9V2uC1rwyj_gSl1,skechers,women's flex appeal 2.0-bold move black/charcoal 12773/bkcc,black/charcoal women's 12773/bkcc skechers move appeal 2.0-bold flex
AV-KM_DKYSSHbkXwpOVZ,rocky 4eursole,rocky 4eursole golden day women's sandals,rocky women's day sandals golden 4eursole
AV-KMgNFYSSHbkXwpN8t,so,so hangout women's plush boots,women's so plush boots hangout
AV-KMhBWYSSHbkXwpN9Z,rocky 4eursole,rocky 4eursole sprightly women's platform sandals,rocky platform women's sprightly sandals 4eursole
AV-KMkFyHh53nbDR_KlQ,ryka,ryka tisza women's shoes,tisza shoes ryka women's
AV-KMlJ4KZqtpbFMSo99,sonoma goods for life,sonoma goods for life petya women's penny loafers,for sonoma women's penny goods life loafers petya
AV-KMlNJHh53nbDR_Kl4,ryka,ryka nora women's wedge sandals,women's sandals nora ryka wedge
AV-KMloCHh53nbDR_Kmj,a2 by aerosoles,a2 by aerosoles sandbar women's shoes,women's sandbar by aerosoles shoes a2
AV-KMnWFuC1rwyj_gSU4,naturalsoul by naturalizer,naturalsoul by naturalizer glamour women's ballet flats,naturalsoul women's glamour ballet by naturalizer flats
AV-KMpWUKZqtpbFMSpBr,apt. 9,apt. 9 frittata women's high heels,high women's apt. heels frittata 9
AV-KMpYyHh53nbDR_Kpd,soft style by hush puppies,soft style by hush puppies jamila women's clogs,puppies soft women's clogs style by hush jamila
AV-KNDMeKZqtpbFMSpPe,so,so hitide women's pointed toe flats,hitide toe women's so pointed flats
AV-KNDYHuC1rwyj_gSqf,style charles by charles david,style charles by charles david dakota women's ballet flats,women's ballet charles style by david dakota flats
AV-nb1kGKZqtpbFMSzjO,so,so reply women's riding boots,reply women's so riding boots
AV-nb3Y2KZqtpbFMSzkZ,ryka,ryka elita women's cross-training shoes,women's ryka elita cross-training shoes
AV-nb3nPuC1rwyj_gea6,croft barrow,croft barrow women's ortholite boat shoes,women's boat barrow croft shoes ortholite
AV-nb4hWYSSHbkXwpaCH,lifestride,lifestride velocity indeed women's wedges,wedges women's indeed lifestride velocity
AV-nb4rjuC1rwyj_gebo,eastland,eastland classic ii women's penny loafers,penny women's classic loafers ii eastland
AV-nbLQOHh53nbDR_Ugl,keds,keds women's glimmer lurex canvas fashion sneaker,women's keds sneaker lurex glimmer fashion canvas
AV-nbMCiYSSHbkXwpZh8,ryka,ryka dominion women's walking shoes,women's ryka walking dominion shoes
AV-nbPnBKZqtpbFMSzHi,croft barrow,croft barrow women's lightweight clogs,women's clogs barrow croft lightweight
AV-nbQfOKZqtpbFMSzII,sonoma goods for life,sonoma goods for life thelma women's peep toe ankle boots,toe for sonoma women's goods thelma life boots ankle peep
AV-nbR8_YSSHbkXwpZmH,fergalicious,women's fergalicious everest wingtip oxford,women's oxford wingtip fergalicious everest
AV-nbSQpKZqtpbFMSzJP,sonoma goods for life,sonoma goods for life women's beaded thong sandals,thong for women's sonoma goods life sandals beaded
AV-nbWZWHh53nbDR_Un7,lc lauren conrad,lc lauren conrad calla women's pointed loafers,women's conrad lc calla pointed loafers lauren
AV-nbYC9Hh53nbDR_Uob,keds,keds craze ii women's ortholite leather sneakers,leather women's keds sneakers ii craze ortholite
AV-nbamiYSSHbkXwpZrw,under armour,under armour street precision low women's sneakers,low street women's armour sneakers precision under
AV-nbbEYKZqtpbFMSzOi,croft barrow,croft barrow lena women's ortholite shoes,lena women's barrow croft shoes ortholite
AV-nbbPIHh53nbDR_Uqy,ryka,ryka dream women's cross-training shoes,women's dream ryka cross-training shoes
AV-nbbkmKZqtpbFMSzPC,apt. 9,apt. 9 editor women's high heels,high women's editor apt. heels 9
AV-nbbryuC1rwyj_geFh,dr. scholls,dr. scholl's dakota women's wedge ankle boots,women's dr. wedge scholl's boots scholls ankle dakota
AV-nbdonHh53nbDR_Usf,skechers,skechers graceful get connect women's sneakers,women's connect sneakers skechers get graceful
AV-nbk4_uC1rwyj_geM-,skechers,skechers you women's slip-on sneakers,you women's slip-on sneakers skechers
AV-nbkV9Hh53nbDR_Uxh,style charles by charles david,style charles by charles david groove women's over-the-knee boots,over-the-knee women's charles style by boots david groove
AV-nbkfLHh53nbDR_Uxo,skechers,12831 white black skechers shoe memory foam women slip on comfort walk soft mesh 12831wbk,white 12831 walk soft 12831wbk black slip skechers foam mesh memory shoe comfort on women
AV-nblQfHh53nbDR_Uyf,skechers,skechers you inspire women's shoes,you women's skechers inspire shoes
AV-nblWguC1rwyj_geNW,lifestride,lifestride yakira women's wedge sandals,yakira women's sandals wedge lifestride
AV-nbnIEKZqtpbFMSzYa,simply vera vera wang,simply vera vera wang women's all-over stretch heels,women's wang stretch simply vera heels all-over
AV-nbouDuC1rwyj_gePn,style charles by charles david,style charles by charles david lynne women's high heels,high women's charles heels style by david lynne
AV-nbp72Hh53nbDR_U1w,henry ferrera,henry ferrera nuface women's water-resistant two-tone rain boots,nuface rain women's boots ferrera water-resistant two-tone henry
AV-nbszEKZqtpbFMSzc4,new balance,new balance 811 v2 trainer cush+ women's cross training shoes,training women's cross new balance trainer v2 cush+ shoes 811
AV-nbtKeKZqtpbFMSzdO,a2 by aerosoles,a2 by aerosoles my way women's moto boots,my women's boots by moto aerosoles way a2
AV-nc1HpHh53nbDR_Vj9,a2 by aerosoles,a2 by aerosoles test drive women's loafers,test women's drive by loafers aerosoles a2
AV-ncA5QYSSHbkXwpaFB,lifestride,lifestride carla women's high heels,high women's heels lifestride carla
AV-ncB20uC1rwyj_gefo,lifestride,lifestride diverse women's flats,lifestride flats women's diverse
AV-ncBjdYSSHbkXwpaFz,lc lauren conrad,lc lauren conrad sweetpea women's ankle boots,women's conrad lc boots sweetpea ankle lauren
AV-ncCT1Hh53nbDR_VEo,croft barrow,croft barrow aimee women's ortholite ankle boots,women's boots aimee barrow croft ankle ortholite
AV-ncFjJHh53nbDR_VHC,adidas,adidas neo cloudfoam lite racer women's shoes,lite cloudfoam women's neo racer adidas shoes
AV-ncGQTuC1rwyj_geid,dolce by mojo moxy,dolce by mojo moxy ashton women's high heel mules,high women's dolce heel mules by moxy mojo ashton
AV-ncGkUHh53nbDR_VIH,so,so can't even women's velvet ballet flats,women's ballet so even can't velvet flats
AV-ncJi-uC1rwyj_gekx,naturalsoul by naturalizer,naturalsoul by naturalizer daya women's block heel sandals,naturalsoul block women's sandals daya heel by naturalizer
AV-ncL2WuC1rwyj_gemu,skechers,skechers 22752wht women's gratis - no limits stitching  shoes,women's limits gratis skechers 22752wht stitching no shoes -
AV-ncM9VHh53nbDR_VMe,lifestride,lifestride connect women's high heels,high women's connect heels lifestride
AV-ncPiuuC1rwyj_gepk,simply vera vera wang,simply vera vera wang women's beaded ballet flats,women's ballet wang vera beaded simply flats
AV-ncQLSuC1rwyj_geqO,style charles by charles david,style charles by charles david gail women's backless loafers,gail women's backless charles style by loafers david
AV-ncVUwHh53nbDR_VSu,apt. 9,apt. 9 peaceful women's block heel sandals,block women's sandals apt. heel peaceful 9
AV-ncWJ6YSSHbkXwpaV-,lifestride,lifestride dare women's mary jane shoes,women's jane mary lifestride shoes dare
AV-ncXxXHh53nbDR_VVC,skechers,skechers relaxed fit bikers women's shoes,fit relaxed women's skechers bikers shoes
AV-nciAjuC1rwyj_geyX,skechers,skechers relaxed fit reggae fest dory women's exposed sneakers,fit fest relaxed women's sneakers skechers exposed reggae dory
AV-ncqVLYSSHbkXwpaec,new balance,new balance 600 v2 women's running shoes,running 600 women's new balance v2 shoes
AV-ncrrVuC1rwyj_ge34,puma,puma rebel mid women's sneakers,mid women's puma sneakers rebel
AV-nct2MuC1rwyj_ge4_,dr. scholls,dr. scholl's giorgie women's ballet flats,women's ballet dr. scholl's giorgie scholls flats
AV-ncuMfHh53nbDR_Vej,eastland,eastland dakota women's ankle boots,women's boots ankle dakota eastland
AV-ncuedYSSHbkXwpahG,vans,vans ward low women's skate shoes,low women's ward skate vans shoes
AV-ncxHHKZqtpbFMS0F5,lifestride,lifestride intel women's flats,lifestride flats women's intel
AV-ncxniKZqtpbFMS0GX,skechers,skechers women's skech-air lingle black memory foam slip resistant sneaker shoes,women's resistant sneaker black slip skechers foam memory lingle skech-air shoes
AV-ndG1uKZqtpbFMS0SV,style charles by charles david,style charles by charles david laura women's wedge sandals,women's sandals wedge charles style by david laura
AV-ndGnvKZqtpbFMS0SG,so,so boat women's ballet flats,women's ballet so boat flats
AV-ndHZmYSSHbkXwpawS,a2 by aerosoles,a2 by aerosoles gravity women's ankle boots,women's gravity boots by aerosoles ankle a2
AV-ndHk9KZqtpbFMS0S5,a2 by aerosoles,a2 by aerosoles shore enough women's ankle boots,enough women's boots by aerosoles ankle shore a2
AV14CA98vKc47QAVnx6N,skechers,76580 w wide width black skechers shoe new women work memory foam slip resistant 76580ewblk,width wide work resistant new black slip w skechers foam 76580ewblk memory shoe 76580 women
AV1c53Wl-jtxr-f31d0J,lc lauren conrad,lc lauren conrad pixii women's flip flops,flip flops women's conrad pixii lc lauren
AV2A4MxtvKc47QAVol_G,nomad,women's puddles boot,boot nomad puddles women's
AV2cVsE7vKc47QAVpJKS,skechers,skechers women's flex appeal 2.0 - insights - wide casual shoe,women's wide skechers 2.0 appeal casual shoe insights flex -
AV2cZ7SYGV-KLJ3al3p6,lifestride,lifestride lively women's high heels,high women's lively heels lifestride
AV2cZiLFvKc47QAVpJgp,journee collection,journee collection leona women's oxford high heels,leona high women's journee oxford collection heels
AV2cZrmXglJLPUi8Ql2c,laredo,laredo western boots womens mesquite stockman gaucho light blue 5627,womens boots gaucho western stockman light laredo 5627 blue mesquite
AV2vVlI4GV-KLJ3amD7P,skechers,skechers relaxed fit empire stretch knit gore collar women's slip on shoes,fit relaxed women's knit stretch slip gore skechers collar shoes on empire
AV2vVlavglJLPUi8QyKq,skechers,skechers go step lite ultrasock women's shoes,lite women's step skechers go shoes ultrasock
AV3E8hOd-jtxr-f3-my_,a2 by aerosoles,a2 by aerosoles first love women's dress wedges,first women's wedges dress by aerosoles love a2
AV4itgAI-jtxr-f3AIix,fila,fila memory finition women's running shoes,running women's fila memory shoes finition
AV50Jgvy-jtxr-f3ILyv,adidas,adidas neo courtset women's suede sneakers,suede women's neo sneakers courtset adidas
AV5AX2S5GV-KLJ3asXKP,ryka,ryka savannah women's sandals,sandals ryka women's savannah
AV5AX_fdglJLPUi8XQk8,skechers,skechers flex appeal 2.0 women's sneakers,women's sneakers skechers 2.0 appeal flex
AV5AYAMO-jtxr-f3Du5h,a2 by aerosoles,a2 by aerosoles cool breeze women's slide sandals,women's cool sandals breeze by aerosoles slide a2
AV5yuGub-jtxr-f3ICRO,lifestride,lifestride hinx women's wedge sandals,women's sandals wedge hinx lifestride
AV_A1j-CKZqtpbFMTMv3,lifestride,lifestride elita women's sandals,lifestride sandals elita women's
AV_A2b1oKZqtpbFMTMza,journee collection,journee collection luela women's high heels,high women's journee collection heels luela
AV_A2ve2Hh53nbDR_ugb,ryka,ryka enhance 3 women's cross-training shoes,women's ryka cross-training enhance shoes 3
AV_A3W8wHh53nbDR_unp,ryka,ryka celeste women's walking shoes,women's ryka walking shoes celeste
AV_A4GPuuC1rwyj_g8Xg,lifestride,lifestride flaunt women's dress sandals,women's sandals dress flaunt lifestride
AV_A4TEwYSSHbkXwp4A4,journee collection,journee collection tanzi women's high heels,high women's journee collection heels tanzi
AV_ArMvHuC1rwyj_g7dv,lifestride,lifestride maintain women's slip-on shoes,maintain women's slip-on lifestride shoes
AV_AtrlbYSSHbkXwp3dB,ryka,ryka spark women's walking shoes,women's spark ryka walking shoes
AV_AwmaYYSSHbkXwp3kZ,apt. 9,apt. 9 luckily women's sandals,women's sandals luckily apt. 9
AV_Ed2wTYSSHbkXwp98Y,lifestride,lifestride dreams women's dress wedges,women's wedges dreams dress lifestride
AV_Ed9fCuC1rwyj_hCT1,sonoma goods for life,sonoma goods for life lylah women's peep toe booties,toe booties for sonoma women's goods life lylah peep
AV_EdXB_YSSHbkXwp9x6,naturalsoul by naturalizer,naturalsoul by naturalizer faith women's sneakers,naturalsoul women's sneakers by naturalizer faith
AV_Ed_A9Hh53nbDR_0XK,ryka,ryka natalia women's wedge sandals,women's natalia sandals ryka wedge
AV_EdaRGHh53nbDR_0Jc,croft barrow,croft barrow women's ortholite double gore ankle boots,women's double gore boots barrow croft ankle ortholite
AV_Edi7AHh53nbDR_0Lo,candies,candie's cosmos women's block-heel dress shoes,women's candies dress cosmos block-heel shoes candie's
AV_EdiPRuC1rwyj_hCLM,lifestride,lifestride samantha women's loafers,lifestride loafers samantha women's
AV_EdjtxuC1rwyj_hCMC,candies,candie's confident women's combat boots,women's candies boots combat confident candie's
AV_EdmnuKZqtpbFMTSiC,journee collection,journee collection larue women's heeled loafers,women's journee heeled collection loafers larue
AV_Edw1AuC1rwyj_hCOe,croft barrow,croft barrow bertha women's ortholite ankle boots,women's boots barrow croft ankle bertha ortholite
AV_EdziyHh53nbDR_0S5,keds,keds craze ii women's ortholite shoes,women's keds ii craze shoes ortholite
AV_Ee390YSSHbkXwp-VX,lifestride,lifestride velocity vanity women's loafers,vanity women's loafers lifestride velocity
AV_EeG8jKZqtpbFMTSuy,skechers,"women's skechers, relaxed fit bikers londoner ankle boots","fit londoner relaxed skechers, women's boots skechers bikers ankle"
AV_EeHZOKZqtpbFMTSvH,koolaburra by ugg,koolaburra by ugg victoria short women's winter boots,women's winter boots by koolaburra short ugg victoria
AV_EeKXxHh53nbDR_0dF,spring step,spring step edella women's sandals,women's sandals step spring edella
AV_EeTcluC1rwyj_hCbM,spring step,spring step danila women's sandals,women's sandals step spring danila
AV_EeURVHh53nbDR_0fn,new balance,new balance 715 v2 cush + women's cross training shoes,training + women's cross new balance 715 v2 cush shoes
AV_EeYpjuC1rwyj_hCd-,croft barrow,croft barrow women's casual slip-on shoes,women's slip-on barrow croft casual shoes
AV_EezCmKZqtpbFMTTBO,new balance,new balance fuelcore coast v3 women's running shoes,running women's v3 coast fuelcore new balance shoes
AV_EezrkuC1rwyj_hCoE,vans,vans ward hi women's skate shoes,women's ward hi skate vans shoes
AV_EfEXtKZqtpbFMTTHh,ryka,ryka propel 3d pro women's walking shoes,women's 3d ryka walking propel pro shoes
AV_F-EVTKZqtpbFMTTyB,a2 by aerosoles,a2 by aerosoles for shore women's mary jane heels,for women's heels jane by aerosoles mary shore a2
AV_F-EwUYSSHbkXwp_Hr,lifestride,lifestride listed women's espadrille wedges,women's wedges listed espadrille lifestride
AV_F-FYxKZqtpbFMTTz8,naturalsoul by naturalizer,naturalsoul by naturalizer ilena women's slip-on shoes,naturalsoul women's slip-on by naturalizer shoes ilena
AV_F-O-1KZqtpbFMTUAj,croft barrow,croft barrow women's ortholite cutout ballet flats,women's ballet cutout barrow croft flats ortholite
AV_F-bhCYSSHbkXwp_rT,croft barrow,croft barrow dame women's ortholite clogs,women's clogs barrow croft dame ortholite
AV_F-hVHYSSHbkXwp_x1,spring step,spring step decca women's sandals,women's sandals decca step spring
AV_F9_7sKZqtpbFMTTsr,croft barrow,croft barrow alice women's ortholite riding boots,women's riding boots barrow croft ortholite alice
AV_G--w3YSSHbkXwqEo7,ryka,ryka seabreeze sr women's athletic shoes,sr athletic women's ryka seabreeze shoes
